Name,Email,Sent Messages (Baseline),Received Messages (Baseline),Recipients in Sent Messages (Baseline),Bcc Recipients in Sent Messages (Baseline),Cc Recipients in Sent Messages (Baseline),Read Later (in hours) (Baseline),Days between Received and Read (Baseline),Replies to Messages (Baseline),Characters in Outgoing Messages (Baseline),Messages Outside Working Hours (Baseline),Received/Sent Ratio (Baseline),Bytes Received and Sent Ratio (Baseline),Unanswered Questions (Baseline),Sent Messages (Comparison),Received Messages (Comparison),Recipients in Sent Messages (Comparison),Bcc Recipients in Sent Messages (Comparison),Cc Recipients in Sent Messages (Comparison),Read Later (in hours) (Comparison),Days between Received and Read (Comparison),Replies to Messages (Comparison),Characters in Outgoing Messages (Comparison),Messages Outside Working Hours (Comparison),Received/Sent Ratio (Comparison),Bytes Received and Sent Ratio (Comparison),Unanswered Questions (Comparison),Probability of Leaving
Emily Moore,alexander53@example.org,312,195,9,2,0,4,6,15,178,8,1.0577838240306603,1.2095476141488506,2,312,210,10,0,3,9,5,15,319,0,1.6840449456051463,0.5490864302363595,3,0
Terry Mann,burnskathryn@example.org,236,219,5,4,2,0,6,2,309,0,0.7323530380418325,1.566412514160388,2,315,190,13,1,0,4,5,1,293,8,1.0221947736315447,1.8050648713399013,3,1
Anthony Marshall,jimenezjoseph@example.org,304,184,8,3,4,7,5,20,266,6,0.9446697668358228,1.690522930451562,3,351,176,8,1,1,8,6,10,217,3,0.8699243334179634,0.8561552437614177,2,0
Andrew Brandt,ocaldwell@example.com,313,183,13,0,4,8,4,13,228,7,0.6001948931031758,1.3521823566448707,0,306,215,5,4,4,7,4,17,291,5,0.5105329441473847,1.0743682790595133,1,1
Angela Hogan,wpreston@example.org,294,181,6,3,4,5,3,5,291,4,1.3893273339493941,0.6876431538833517,0,326,226,5,4,2,3,5,19,329,4,0.67546851718379,1.8969628436014598,4,0
Angela Richards,randytaylor@example.com,289,228,8,0,4,5,1,5,302,9,0.8355185049025933,1.2000446842558574,1,283,191,7,4,2,0,2,7,321,3,0.7713453649447983,1.3263440522841297,1,0
Christina Miller,kellynorton@example.com,300,178,7,2,0,0,5,29,303,5,0.561593340177217,1.4310178363120103,2,319,171,8,1,0,4,6,11,324,0,0.7860271972308995,0.7500519889142867,4,0
Melissa Reynolds,davisdennis@example.org,258,229,8,0,0,2,1,2,369,5,1.0536638331291235,1.20959278011421,0,302,160,1,2,1,7,5,25,284,3,1.844091359657115,1.9167575204734384,3,0
Brandon Roberts MD,jaime81@example.net,214,194,10,4,2,9,1,9,305,9,1.7748889727066406,0.8358153707197764,2,231,180,6,0,3,6,6,22,285,1,1.389837280196271,1.399694839074296,1,1
Barry Brown,georgehess@example.org,317,202,6,2,3,7,2,2,271,8,1.3543832759827739,0.8968417205054509,4,412,186,7,4,3,3,2,15,370,5,1.2161578013777112,1.5200669971825034,4,0
Emma Hansen,marshallkenneth@example.com,242,235,12,4,2,2,6,15,231,2,1.0103094650280122,0.6518071914356587,3,282,256,14,4,3,6,6,0,327,1,0.6749702245278738,1.4209411880092782,2,1
Melissa Kennedy,martindiane@example.com,398,256,12,4,2,8,1,1,306,2,1.3782700869755575,1.1064477860809714,3,308,225,10,3,0,0,4,18,268,0,0.5150485380148587,1.8505737605337802,3,1
Sharon Riggs,archerjoseph@example.net,189,167,11,0,1,7,5,23,367,6,1.098055907422249,1.169084908910043,3,340,168,5,1,2,7,3,13,232,0,0.6508615588983977,1.416650588519886,2,0
Natasha Becker,allenjennifer@example.org,276,184,10,3,3,7,1,17,245,9,1.3210017268713168,1.9688662275782653,2,269,166,3,4,2,8,1,18,249,8,0.8741813290048903,1.5389642319406969,1,0
David Gonzalez,wilsoncrystal@example.org,345,207,9,0,3,5,1,20,306,1,1.2616338964035454,1.4653962695385736,1,345,163,1,3,4,6,6,12,248,6,0.9460856835818054,0.9406289550575301,0,0
Gilbert Peterson,petersoncynthia@example.com,372,204,9,0,1,4,1,12,253,2,1.62567831016027,1.006641011421444,4,309,166,9,3,2,1,4,19,313,2,1.0344623441779432,1.7008401513838405,3,0
Rachel Fritz,michael91@example.net,302,252,2,1,0,9,4,2,344,2,0.6111068434528988,1.4442657945569408,3,336,170,6,3,1,8,6,17,283,7,0.5346421138743863,1.300157374721076,4,0
Connor Davis,tayloredwards@example.com,295,194,3,3,0,5,1,26,321,2,1.1957054854855276,1.764272777633201,2,271,219,7,1,1,7,3,28,371,8,1.9217704894739862,0.5503967800136464,0,1
Kerri Browning,stephen91@example.org,242,157,13,2,4,9,5,0,241,7,0.7281858451941032,0.7803648215169903,0,120,177,10,4,0,6,4,1,272,6,1.8876770124665088,1.1783660627398942,2,1
Christine Robinson,lgonzalez@example.net,293,200,8,3,4,0,3,12,337,0,0.7747178850297687,1.3911075108197706,1,281,157,14,4,4,6,1,21,256,3,0.5137869819538889,1.7521897007775804,1,1
Pamela Cantrell,zacharyrobles@example.org,299,223,1,1,4,8,5,7,293,2,0.9598170259045911,0.986364997612059,1,283,235,4,3,1,9,2,20,230,6,1.2375321438247449,1.7461490478906396,3,0
Jennifer Terry,robert67@example.com,332,201,14,4,2,2,6,6,351,7,1.0602321916647144,0.7079387709187063,0,233,215,1,4,0,8,5,10,221,3,1.7314594968668038,0.6199482762055326,1,0
Richard Lopez,vshepherd@example.net,321,242,10,0,1,9,5,21,298,1,1.3104651622815162,0.9950876305774405,3,289,212,4,1,1,5,5,26,219,8,1.2061562642272703,0.9078802564256023,3,1
Deborah Brown,johnfoster@example.com,289,151,13,1,1,9,4,19,275,6,0.9439373213629139,0.5295817277635724,1,322,222,11,0,2,6,1,19,271,5,0.5391742459431416,0.9574711035262342,4,1
Brittany Rivera,ewebb@example.org,355,192,2,3,4,6,3,4,311,9,0.8677747635248315,1.1257700730128017,0,224,174,3,2,3,8,2,14,233,9,1.263844778783856,1.9327502667508727,1,1
Gary Schmitt,youngleah@example.com,355,262,13,3,3,3,5,0,293,1,1.802441553631349,0.9713296416472541,2,363,208,1,0,1,1,4,26,383,6,0.9246747702856059,1.455813693559282,1,1
Mark Foster,deannashelton@example.com,315,230,7,0,1,7,2,14,274,2,1.5224250923226768,1.2098048803183572,0,329,203,5,1,1,3,6,18,298,2,1.2833667344278332,0.6251769827215686,2,0
Vincent Miller,boydregina@example.com,352,203,5,0,0,1,3,20,282,1,0.8990069634736474,1.298651774240294,1,265,239,2,2,3,6,1,28,281,3,0.9540047469278234,0.9489043952260713,3,0
Timothy Leblanc,marshalleric@example.net,167,171,2,4,1,8,6,3,267,5,1.518119294801436,1.5879965180422253,1,313,173,9,1,3,7,3,2,308,9,0.9600580210865776,1.142631364393342,4,0
Stephen Brown,cindy08@example.com,308,176,5,3,4,3,6,11,308,4,1.741013013629421,1.8938153639583275,2,328,193,7,4,2,1,4,8,342,1,0.5530536217165944,1.8766308005928996,0,0
Steven Thomas,rwright@example.com,258,223,3,0,0,6,1,4,302,9,1.5022022319328958,1.7331731226594465,3,327,147,4,4,1,2,6,8,319,3,1.8743371449405155,1.1153357842561378,1,0
Mark Boyd,donna05@example.org,207,173,4,3,3,4,6,11,259,1,1.7467650823709775,0.923428451240047,3,306,218,8,3,3,2,5,23,253,9,0.8785605091534994,1.557363128881915,2,1
Daniel Rodriguez,lauraflores@example.com,328,167,11,3,3,3,3,18,399,0,0.6640588738432202,0.540883583287558,4,278,164,10,2,2,8,3,9,343,0,0.6792831270895474,1.964017491132012,3,1
Eric Wilson,shannon98@example.org,344,190,1,4,4,5,1,16,343,7,1.8580309254502143,1.0522911326782987,3,265,189,3,1,1,3,5,28,311,5,1.4197323032700115,1.110223424568779,3,1
Dawn Blackwell,smithmaria@example.net,299,194,13,0,0,9,2,11,366,3,1.263890669607376,1.243299634080455,1,313,170,3,2,0,5,2,26,264,5,0.5408671812523127,1.9684278457709106,1,1
Amy Haley,wrightdavid@example.org,246,167,5,2,2,3,5,21,305,4,1.4110262258367103,0.6694245841746111,2,243,158,1,2,4,9,4,24,349,2,1.0212565633218205,1.701247681008284,3,0
Donna Chen,jamesdaniel@example.com,310,205,10,3,1,6,5,8,333,9,1.2977019837002493,1.7750940420841441,4,326,216,9,1,1,8,2,21,321,4,0.6614244808209477,0.6173184256131053,1,0
Joseph Larsen,julie08@example.org,316,214,3,0,4,9,4,7,304,4,1.3292046337785213,1.1517484342093212,0,328,170,12,3,2,3,3,24,321,0,1.5147373168302625,1.6870395536675789,4,1
Amy Hill,cheryl87@example.net,293,157,13,2,2,3,4,25,274,5,1.5558875220178139,1.4763477759005,0,348,125,3,0,4,5,6,27,257,2,0.7631130012036297,1.963428964975051,2,1
Robert Wilson,bonniegreen@example.org,390,176,6,0,0,9,3,5,288,4,0.8129124223513617,1.656123054239947,1,321,191,8,2,1,6,2,17,320,7,1.9454225558295393,1.4330207545922122,3,1
Heather Hall,tinaanderson@example.net,344,205,8,1,2,5,4,21,259,2,0.8411100679345894,0.7134651436376297,2,397,151,11,4,2,5,1,25,303,3,1.598828682415501,0.5653238276453152,2,0
Shane Webster MD,karinaarnold@example.com,299,235,11,1,2,6,3,23,244,5,0.5824912175943732,0.6681314971132261,1,278,233,14,2,2,9,3,14,280,7,1.0667298416213504,0.9093655635024689,0,0
Sara Powell,sabrinanorton@example.org,375,160,13,3,4,9,6,23,340,0,1.8666294215834354,0.5251672403590788,2,259,223,4,3,4,8,6,19,289,0,1.8660793661145612,0.9167816587967412,3,1
Alicia Blair,shawn27@example.net,244,211,6,1,3,0,6,25,323,1,0.7754764244849168,0.7968043601322539,4,312,270,13,2,1,3,2,25,280,8,1.0406042977634855,0.6328022076112583,3,0
Matthew Bryant MD,timothywilson@example.org,346,194,2,1,4,6,6,3,302,8,1.1695543299514723,1.1636591529725666,4,324,172,13,2,1,6,3,17,231,8,0.8475155104047052,1.355775474301886,4,1
Lance Reid,cfowler@example.net,245,195,3,0,4,7,1,24,291,0,1.2284024001434486,0.7925921393708145,2,295,200,12,0,2,0,4,14,245,8,1.8909726483111213,1.401608117358152,2,1
Kelli Hall,mathew61@example.com,424,171,12,0,0,8,3,17,317,3,1.5353904580780442,1.8033047559021216,2,190,204,11,4,1,7,3,17,340,8,1.1982953095162447,1.7865277200744685,4,0
Olivia Hendricks,youngkevin@example.net,201,190,6,0,0,8,2,14,271,2,1.0457284291885678,1.8379245898597196,0,334,270,1,1,2,2,5,12,306,9,1.6233880116785904,1.4220084653518368,3,0
Michelle Guerra,karen61@example.com,168,224,8,1,1,7,4,3,323,2,1.6368981202898598,0.583574931029893,3,181,195,3,4,0,8,2,3,279,8,1.5760647883172885,0.962187776797546,2,1
Ralph Thompson,flemingmichael@example.org,307,172,1,3,4,8,1,8,277,3,1.6350332868030906,1.4856178916783565,2,305,227,7,3,0,5,5,23,271,0,1.0209657644231869,1.253062968881801,4,1
Phillip Matthews,melissamartinez@example.net,351,203,10,1,1,9,5,16,298,6,0.9427699338374607,1.7374879062576993,4,362,199,13,2,0,7,6,26,415,7,1.5902487196788817,1.1644756478191387,0,1
John Hayden,pmerritt@example.com,289,201,2,4,4,6,6,3,281,8,0.8370196225434006,1.96013230380947,3,349,227,14,2,2,2,3,1,309,9,0.6097488463930791,1.2907248158698896,2,1
Michael Johnston,williamhendrix@example.com,285,230,6,3,4,9,5,7,343,3,1.876545653057358,0.9563802929335705,1,388,204,8,3,4,2,4,19,257,3,1.3095747347071724,1.058510732514018,4,1
Ann Stein,joseguerra@example.com,332,168,7,1,0,1,2,18,290,7,0.6438566771355461,1.2167939610337228,1,369,170,1,4,4,9,1,7,358,8,1.9231471338430133,0.8537700020685498,4,0
Stephen Obrien,andrew10@example.net,279,157,12,1,3,6,3,4,260,1,1.4312392119342643,1.3189439566903267,1,313,209,6,2,2,7,3,28,415,4,1.2328126541246671,1.331127364430639,4,0
Patricia Thompson,christopher45@example.com,306,195,8,0,4,5,5,1,289,7,0.6811990264886472,0.5617945322361597,3,303,190,1,3,1,9,4,8,292,5,0.7999086010997642,0.8318053817153988,3,0
James Sanchez,woodardapril@example.net,262,199,5,3,3,3,2,24,374,1,0.7089000175637684,1.7704499087179884,4,296,210,8,1,2,0,6,2,269,2,1.7665098725173305,0.8881452388058264,4,0
Robert Flynn,thomasfisher@example.com,267,194,13,4,3,5,1,21,225,7,1.091728745943454,0.9084037224061539,0,301,219,5,4,2,5,3,19,335,3,0.615622207463832,0.7909086501359035,0,1
Whitney Sanchez,aliciawolfe@example.org,319,183,11,0,0,5,5,1,323,6,1.6726208189195813,1.2574912276817565,4,337,160,9,3,3,5,5,14,317,6,1.7660949657554235,0.6882821855453347,2,1
Kelly Cameron,brandonbarnes@example.com,291,258,5,0,2,1,5,20,241,9,1.2660169660987033,0.9594559240076805,0,373,170,8,3,2,8,4,13,330,3,1.2038469635329645,1.4093333121630307,3,0
Lucas Roman,vhoffman@example.org,280,199,9,1,2,4,6,15,232,3,1.207723288877013,1.060088444690941,2,282,134,5,0,2,5,2,6,397,9,1.7998191718594465,1.095736322520239,2,0
Debbie Swanson,thomas90@example.net,296,165,6,2,2,8,5,22,330,1,1.2468498451135157,1.8190769227127759,2,338,226,6,4,4,9,6,15,207,3,0.9014754746374598,1.2311570906994478,4,0
Tiffany Ingram,greeneric@example.org,279,237,14,2,0,6,3,17,192,1,1.2144288125915064,0.6093567428115596,3,268,210,3,2,2,9,6,24,323,1,1.1848773941878614,1.7581820842093345,2,1
Nicholas Diaz,vargasdonald@example.net,289,186,10,4,3,2,1,7,278,1,1.9573962475267759,1.9992394290130897,3,350,220,13,4,1,4,1,13,291,7,0.8667891151565607,1.6362366589694033,1,0
Tom Jones,piercejustin@example.com,361,166,1,1,2,4,3,11,284,0,0.7641268416399825,0.5330857236554907,2,273,207,7,3,0,3,5,15,312,5,1.85238745391198,1.7656907668954687,4,0
Kyle Morales,debbie25@example.com,317,206,11,2,2,4,5,10,305,8,1.9626359839682408,1.0114220121766402,1,342,192,3,3,4,2,5,15,311,2,1.605710881761834,1.4400287982925706,0,1
Jason Torres,jessicawalsh@example.org,334,206,10,3,2,2,6,13,295,2,1.7213030280600896,1.2568362847231251,0,371,203,4,0,4,1,4,26,240,4,1.5948003671564357,1.57314049924865,1,0
Nicole Ramirez,icooper@example.org,333,199,8,4,3,4,1,26,226,3,0.5062719755567037,1.4211607758945004,1,310,226,9,3,2,4,3,7,247,3,1.9351407607403073,0.7201840511844712,2,1
Zachary Anderson,jaysmith@example.org,395,187,7,4,3,3,4,28,342,3,0.6306585846692632,0.75124629336999,3,266,166,1,4,4,2,4,27,249,2,1.3605908673186042,1.7707599568655854,2,0
Lauren Wilson,bryanmartinez@example.org,368,243,14,0,0,2,4,8,308,3,1.9967030213503578,1.6392366228408877,4,324,209,6,4,3,9,3,13,284,0,1.9707188063803387,1.8863119901326928,0,1
Christopher Turner,nancy98@example.org,318,197,9,2,3,1,5,26,228,3,0.7248780871131179,1.8643485518185778,1,333,200,12,4,4,0,6,15,306,2,1.9633094266056106,1.03719729487868,2,1
Gregory Mccormick,medinajason@example.org,349,219,14,2,1,0,1,20,225,0,0.7362911910951234,0.9397252054586711,3,295,225,7,3,4,1,6,27,353,8,1.2846246415578122,1.522822951961098,3,0
Sydney Mills,laura01@example.net,343,223,12,0,1,1,5,14,279,4,0.5166392461625771,1.7590031639594812,1,222,207,7,2,1,3,4,25,329,1,0.5406757324447045,1.552287990151847,0,0
Anthony Brown,mcdonaldmark@example.com,304,177,14,4,2,3,1,1,354,5,0.8679981603412857,1.121202049520777,2,316,194,1,3,1,9,5,22,393,3,1.5735920524965288,0.9163598441934295,0,0
Andrew Smith,lboyd@example.net,295,231,8,0,4,7,2,4,308,0,0.6480250289145715,0.7549079881016498,4,293,195,4,4,2,0,6,18,309,2,1.3331692145783962,0.9982791420872603,2,1
Elizabeth Boone,normankristen@example.com,329,224,12,0,2,3,5,22,285,7,1.017116201257183,1.8764178385851649,2,299,177,12,3,4,6,5,11,320,5,1.751077003695697,1.39396761435499,3,0
Sue Kaiser,david36@example.net,381,218,12,2,4,6,3,4,355,1,0.5116800243970752,0.601852893990584,4,268,183,8,2,2,7,5,25,325,9,1.8781847776806946,0.6860239236331014,2,1
Lisa Wilson,johnhanson@example.net,403,213,1,2,2,2,4,23,277,8,1.0645564215978844,1.1400138674876938,0,249,159,13,0,1,7,3,3,363,6,0.5583747225733777,1.3848762452330203,3,1
Henry Perry,veronica66@example.com,263,244,3,2,1,2,5,6,288,7,0.9704678677266031,1.42816059633791,1,320,221,5,2,1,5,3,20,284,0,1.64891333582476,1.20043485484231,4,1
Amy Brown,terrihoward@example.org,306,240,10,0,3,4,5,11,235,6,1.2409418890569093,1.1946358954024958,0,269,195,5,1,3,3,5,12,417,9,0.8528955061560288,1.902049273515754,4,1
Connie Jones,herrerawendy@example.org,245,155,4,4,0,4,4,12,347,6,0.9962465208223095,1.1741115043077126,4,253,159,1,4,0,0,3,15,341,0,0.8938851099176899,1.3643276288714337,4,1
Terri King,kvasquez@example.org,361,193,9,2,1,1,1,13,275,7,1.8025818879875588,1.5196317137513085,0,367,214,5,1,0,9,2,9,210,9,1.4894603873840047,1.8352347715501804,4,0
John Koch,jessicapayne@example.net,265,226,12,3,0,5,2,24,332,5,1.1072003955607022,1.5879022559125087,4,352,206,5,4,3,4,4,4,242,5,1.084101447394548,1.4238131813028418,0,0
Richard Mitchell,jamesjoseph@example.org,382,221,2,4,4,5,6,25,317,3,1.4426120300841658,1.4100178106429566,4,263,152,3,3,2,9,6,17,362,5,1.6598019377405464,1.9682574017084074,0,1
Larry Krause,ihernandez@example.net,326,162,4,4,0,4,3,16,289,0,0.9897359893362705,1.873301998622563,3,370,236,10,2,0,7,6,24,237,8,1.5465219426156778,1.9404431478538762,1,0
Steven Norton,nathan33@example.com,233,230,5,2,2,1,1,26,232,6,1.5655537344024086,1.0452059759283883,0,318,257,3,0,2,8,6,1,377,3,1.6958799149122452,0.8925354663743518,0,1
Dr. Karina Boyle,rjames@example.net,297,220,9,4,2,6,2,2,245,7,0.7402092531336155,1.3916507915726273,2,361,226,3,2,2,1,4,4,301,5,1.0830607142251751,1.7429107446020269,3,1
Bradley Beasley,graytracey@example.net,322,221,9,3,1,2,4,22,253,9,1.444079624260488,1.8636203847138955,3,302,184,5,1,1,4,5,8,283,8,0.9904704024125148,0.9418349712649968,3,1
Jeffrey Williams,nathan13@example.net,282,190,6,3,4,4,5,16,311,2,1.998969637875855,1.8434258242313766,2,274,152,11,4,3,3,5,7,308,1,0.9934905744242648,1.9580386143188755,1,0
Renee Johnson,friedmandaniel@example.org,218,204,12,0,1,9,2,22,259,6,1.2457712757993602,1.1977971285521924,2,349,284,6,3,3,1,5,25,347,3,0.9094974431809167,1.7274925558855196,2,0
Eric Cook,coxjanice@example.net,305,245,9,0,4,0,4,17,299,1,1.543043716907503,0.9305936464752413,3,360,232,10,4,3,2,6,16,319,0,0.8123136151350423,0.7509893889298175,4,1
Mary Martin,mgarcia@example.org,358,256,14,2,4,6,1,28,294,8,1.7806419817743349,0.8819629831670168,1,254,235,3,2,4,8,3,14,184,4,1.7123072894008537,1.2730247626547917,1,0
Tammy Sanders,galvandaryl@example.net,213,201,8,3,1,1,5,20,365,7,1.9574208181429908,0.565037979519647,4,278,195,5,0,4,8,6,11,330,8,1.4219455464932684,1.4662340359734443,3,1
Nicholas Saunders,falexander@example.org,250,241,7,2,0,9,5,4,321,9,1.856007078456821,1.57248697899704,2,272,213,1,3,1,1,1,18,244,3,1.787328733658437,1.9092281508420084,4,0
Jerome Miller,wheelervanessa@example.org,356,193,2,1,0,0,2,18,197,3,1.2451119868708664,0.8458690905707456,0,307,153,8,2,4,0,2,21,245,9,1.5671217065744365,1.6117075635038263,1,1
Michael Riley,morgan17@example.com,321,210,3,4,1,1,4,18,349,4,0.7379048694223761,1.9319571040219146,0,297,170,4,1,2,6,3,8,277,2,1.9446710938139808,1.740540938063967,4,1
Claudia Barnett,heatherwilliams@example.net,291,174,8,2,3,0,1,26,230,5,1.207856188164236,1.5823481035236675,2,281,211,11,0,3,7,2,14,321,5,1.493727955106771,1.0359479320905405,4,0
Dr. David Johnson,tina16@example.org,185,183,12,4,0,5,2,15,358,2,1.3645575642721275,1.4692698107532658,0,311,164,4,1,0,1,2,14,241,9,1.5052969123441955,0.7104227194287409,2,0
Paul Palmer,wclark@example.org,242,205,1,2,2,8,2,11,234,0,1.7454123973650792,1.6485448798483229,0,290,166,10,2,3,4,1,10,282,4,0.6444294066932261,1.363621188048397,1,0
Aaron Finley,christie12@example.com,226,218,13,0,0,6,2,4,312,0,1.2143903193820613,1.4273261323001334,3,326,221,1,2,2,7,2,6,359,9,1.3587514419152114,0.6147653984279241,0,1
Gabriel Harris,mooresteven@example.org,267,219,13,4,3,0,2,23,263,1,1.3618324399753519,1.2334883583196818,4,159,170,3,3,3,6,3,22,248,9,1.395163912446927,1.8879921574266445,0,1
Benjamin Smith,pwalker@example.org,340,175,14,4,2,7,3,23,310,7,1.5392930642210971,1.7745937070797038,2,288,177,5,2,2,5,5,26,308,9,1.161323661949743,0.8131770745358388,1,1
James Parker,wmiddleton@example.net,198,207,9,2,4,2,4,1,367,8,1.7158534157278038,1.710274717140638,4,257,226,12,4,4,2,6,27,258,9,0.7222944931963897,1.2730294332676333,1,0
Kimberly Pitts,bryan55@example.org,326,187,7,0,3,3,5,23,274,2,1.4505086915043528,1.397526105074933,1,350,162,7,1,3,4,5,15,285,4,1.7300459467459683,1.051934449293611,3,1
Daniel Vargas,lewisvictoria@example.com,282,204,11,2,3,8,2,14,316,3,0.6051270208846852,1.9497483153036703,4,295,173,9,4,2,2,1,4,284,4,1.19612452476547,1.6738543739756786,1,0
Melissa King,james60@example.com,261,168,13,2,2,1,3,10,362,8,0.9981050601135376,1.2957369647728387,0,325,175,3,1,4,7,6,5,316,1,1.0360294400741545,0.6955685452607036,1,1
Charles Foster,sherri64@example.net,246,157,6,1,4,4,6,29,336,7,1.2688984055514139,0.5774713452289715,3,276,204,11,3,4,8,2,23,262,0,0.6261843597450645,1.5151141185597525,4,1
Charles Davis,yscott@example.net,306,206,10,2,2,6,1,23,210,8,1.4548787606853035,0.9130706212881097,1,342,185,10,1,0,0,4,24,308,9,0.9975625600127449,1.67762668752254,2,0
Thomas Adams,hhaley@example.com,294,257,11,1,4,4,3,22,263,5,1.5254367226516408,1.5280540468039163,2,344,240,11,3,0,7,1,28,356,4,1.2303679535479413,1.458844532188237,3,0
Roberto Meadows,willie61@example.org,307,181,11,0,1,1,2,3,393,4,1.2233224695086875,0.92878565996889,4,295,173,7,1,4,6,1,9,298,4,1.1593677095995973,0.5470325352464835,2,0
Ashley Carrillo,stevenroth@example.org,322,195,12,3,4,1,5,11,248,2,1.5454537960224835,0.727362133636196,2,371,211,5,2,0,2,4,8,260,7,0.8917745388941984,1.745518932196086,0,0
Patrick Johnson,jonathan21@example.com,299,229,1,4,4,2,2,7,251,9,1.7656031950759086,0.5497687798130235,0,396,176,10,2,2,3,5,2,326,3,0.6248145021686762,0.88103067026416,3,1
Thomas Deleon,zwashington@example.com,339,192,12,3,2,2,3,23,339,2,0.7578554252478025,1.2828850485935916,4,318,150,3,0,1,6,2,19,305,9,1.9269631227311377,1.912778319379557,3,0
Emily Wilson,smithrhonda@example.net,290,229,1,3,2,8,6,10,256,4,1.1960774691528573,0.8447546142413969,3,394,155,12,1,1,1,6,11,247,4,0.7889299528896818,0.6656884677515085,2,1
Christina Marquez,brandonhill@example.com,303,185,11,0,1,6,4,20,238,0,0.8640979012618288,0.5012132036684622,3,345,225,5,0,0,2,1,15,309,1,1.1316395451144807,1.7512560961182975,0,0
Mary Perry,francesdeleon@example.org,250,213,1,4,3,8,4,23,344,7,1.7630302921052867,0.9298260916833049,4,337,215,14,4,0,1,4,0,392,5,0.5089062533773586,1.1480892206590974,4,1
Marissa Hicks,rsmith@example.net,251,219,12,2,0,2,1,4,370,8,1.209481029845461,0.9528604577177828,4,244,220,7,4,3,3,6,23,251,0,1.346494458816658,1.4321456256442786,4,0
Isaac Ramos MD,myersjordan@example.org,336,191,9,4,1,8,1,11,225,0,0.82856196877645,1.9074271313232078,1,308,207,2,3,3,7,5,12,314,5,1.9564939620348567,0.6476229387129082,0,0
Shelby Frye,thomascatherine@example.net,336,177,4,0,1,8,6,8,355,9,1.9985217234248447,1.7232463352757286,0,377,198,8,0,2,4,2,14,321,5,1.1021193574547277,0.8234570815691868,2,0
Tammy Steele,michael13@example.org,329,164,8,4,2,4,3,2,330,1,1.2683570115720997,0.7617124224613951,1,217,238,2,4,1,7,4,28,230,4,0.9648876380952419,0.9404129704424585,4,1
Paul Mendez,pwright@example.net,284,176,8,4,2,6,2,22,226,3,0.6134452881434735,1.9435580130269927,3,346,191,10,0,4,0,2,0,303,6,1.6930664861677254,1.3703190357766082,1,0
Veronica Jordan,burgesscynthia@example.net,435,207,13,0,0,2,3,22,197,0,1.5186103129306991,1.8334655429456341,4,280,197,4,0,2,7,5,12,311,5,0.5985178524875132,0.7671478842603544,4,1
Glenn Baker Jr.,drewward@example.org,256,171,4,4,0,0,2,14,356,8,1.4969569763737955,1.0065826569004717,2,258,230,3,2,2,1,6,20,282,4,1.0857796909805357,1.4221719035803615,0,0
Stephen Garcia,mary27@example.org,365,226,11,0,1,9,6,12,236,5,0.6023089115217796,0.914322181469045,4,266,236,4,2,2,9,1,17,381,3,0.6917753920892666,0.673550076843026,0,1
Brianna Hicks,heatherbell@example.org,261,216,13,3,4,1,3,25,201,4,1.6914773811596835,0.7295555309461854,3,252,160,8,3,4,7,1,5,302,8,1.2265897431318233,1.9967696130262276,2,0
